#{"t_start": 1611321499.4353979, "env_id": "Reacher-v2"}
r,l,t
-79.118338,50,30.257046
-82.847566,50,30.310157
-78.603514,50,31.883368
-87.062424,50,31.940397
-71.193048,50,31.994011
-81.600027,50,32.048074
-93.434984,50,32.102254
-77.631133,50,32.156011
-83.659925,50,32.209564
-89.301104,50,32.263741
-88.40084,50,32.317236
-90.924459,50,32.370504
-79.671947,50,32.423796
-77.211892,50,32.477608
-93.26797,50,32.531686
-91.933742,50,32.584988
-95.570858,50,32.638498
-62.100813,50,32.69313
-89.820063,50,32.745869
-100.429236,50,32.799075
-86.8428,50,32.852783
-76.630274,50,32.906205
-68.546795,50,32.959502
-69.994037,50,33.012812
-89.990179,50,33.066617
-72.610699,50,33.1201
-82.151028,50,33.173307
-78.994246,50,33.22707
-76.010095,50,33.280531
-62.22943,50,33.333377
-104.055418,50,33.386497
-76.046082,50,33.439743
-80.462365,50,33.493079
-62.749509,50,33.546512
-79.860755,50,33.599547
-75.302097,50,33.652789
-91.724713,50,33.706587
-83.753916,50,33.759491
-74.53313,50,33.812302
-88.230728,50,33.865809
-92.9644,50,33.918672
-87.312629,50,33.971892
-69.274073,50,34.025067
-63.837207,50,35.595385
-81.379086,50,35.653558
-95.144798,50,35.707774
-61.902997,50,35.760888
-61.292084,50,35.814085
-70.954714,50,35.86799
-81.384981,50,35.921588
-74.57319,50,35.9748
-80.034397,50,36.028005
-71.868652,50,36.081746
-82.272257,50,36.135216
-74.235736,50,36.188475
-77.260655,50,36.242011
-99.431807,50,36.296331
-87.800035,50,36.350766
-49.32363,50,36.40399
-79.438522,50,36.458189
-91.756284,50,36.51158
-58.962547,50,36.565095
-76.043298,50,36.618772
-64.061217,50,36.673136
-82.33193,50,36.726843
-64.953948,50,36.780361
-82.954881,50,36.833804
-75.974091,50,36.887568
-62.765645,50,36.940618
-69.714011,50,36.993891
-103.797908,50,37.04739
-65.512505,50,37.101446
-64.787035,50,37.155121
-79.891636,50,37.208751
-74.832577,50,37.262579
-82.796926,50,37.315776
-76.563346,50,37.369302
-74.448449,50,37.423321
-68.839806,50,37.477201
-106.494817,50,37.530897
-61.39022,50,37.58488
-69.45069,50,37.638025
-87.730956,50,37.693035
-72.298569,50,37.746888
-67.133099,50,39.317698
-89.046628,50,39.374987
-72.574198,50,39.428545
-77.134262,50,39.482351
-71.701204,50,39.536104
-64.40722,50,39.589734
-73.990797,50,39.643134
-82.188114,50,39.697984
-57.820964,50,39.752284
-64.941906,50,39.806115
-57.719282,50,39.860193
-73.365966,50,39.914044
-80.885831,50,39.968095
-68.555752,50,40.021239
-83.360845,50,40.076671
-75.685369,50,40.130434
-59.794115,50,40.184111
-73.13329,50,40.238546
-65.139504,50,40.293188
-74.723213,50,40.346482
-59.473311,50,40.400079
-73.681113,50,40.45613
-76.560916,50,40.50955
-92.287197,50,40.563454
-76.64617,50,40.618921
-71.964346,50,40.672425
-63.584525,50,40.727131
-65.793635,50,40.782204
